2,47
37,59
45,68
12,17
64,63
67,66
23,20
31,17
4,23
10,13
69,64
23,19
26,19
11,43
62,41
35,12
37,7
36,47
27,16
59,62
15,12
22,17
25,5
29,19
1,6
37,6
49,51
5,39
35,46
49,69
43,5
0,13
55,59
14,3
13,1
68,47
49,36
35,45
27,21
5,51
50,49
31,21
69,68
7,1
47,43
55,61
35,67
3,9
7,47
5,13
23,68
34,5
7,17
29,67
47,60
1,24
16,7
31,23
34,63
6,49
43,67
29,11
10,3
57,59
28,11
51,56
43,7
26,57
41,6
7,13
41,69
25,1
33,34
15,7
7,40
7,48
23,5
44,47
27,69
34,15
42,5
33,41
17,7
39,6
5,40
41,68
38,59
51,44
2,1
3,37
37,45
3,13
41,66
1,39
19,21
9,44
15,17
38,15
59,63
57,65
42,43
50,63
11,37
9,21
23,17
53,44
7,29
64,69
21,6
9,49
8,37
46,13
60,41
5,3
49,57
62,57
24,19
11,53
62,63
62,65
25,67
57,56
6,25
49,44
48,63
61,66
1,37
31,1
2,35
37,39
5,34
35,6
60,65
19,7
67,69
7,34
19,5
35,44
39,59
46,67
67,63
36,51
3,47
56,69
29,9
3,14
3,32
9,5
43,64
1,28
49,49
28,17
3,7
7,24
30,9
41,7
11,35
31,37
29,17
65,66
5,17
25,64
37,62
35,63
20,11
57,54
11,39
26,67
35,43
13,9
27,19
17,3
29,3
19,15
36,13
47,36
33,13
24,9
37,53
29,36
4,19
12,7
54,55
59,61
67,70
43,55
5,43
32,33
11,16
53,47
39,5
52,57
27,64
39,60
61,54
19,9
1,13
47,63
32,11
35,3
1,33
33,3
18,5
44,67
70,61
57,66
1,11
5,5
43,57
23,8
25,69
53,66
58,61
7,32
49,48
8,23
47,69
63,57
36,3
37,66
55,55
66,63
47,70
25,9
37,44
65,57
1,15
33,9
69,65
37,11
1,23
4,7
15,5
37,37
45,44
9,3
22,31
35,1
25,68
19,2
23,1
59,69
7,8
34,7
17,15
39,4
3,36
47,45
41,42
45,49
11,9
34,35
61,69
39,61
29,64
10,39
49,46
7,52
17,9
13,35
41,64
26,61
34,17
25,3
11,17
36,63
17,5
26,13
45,65
41,47
23,7
67,61
59,68
34,11
41,58
47,65
49,43
15,26
49,54
28,3
29,10
49,42
45,67
7,9
35,19
2,25
41,65
39,9
9,13
20,9
7,23
34,3
7,15
55,53
35,9
41,63
49,63
9,26
18,15
4,25
5,35
49,39
26,45
46,43
45,61
51,51
23,10
35,36
5,16
46,49
65,61
45,51
36,35
15,22
3,4
39,3
1,34
39,63
43,66
49,58
45,53
25,27
7,4
61,65
11,3
65,60
39,40
34,21
41,45
39,54
65,65
64,67
18,31
45,69
7,36
27,15
2,37
9,18
4,3
7,18
43,52
41,52
51,61
30,23
57,69
5,11
38,45
65,46
11,14
43,56
36,57
19,62
15,28
43,65
12,1
9,19
21,15
17,18
5,38
63,58
55,66
45,10
1,50
23,64
25,15
51,50
3,33
45,59
7,51
3,39
30,67
13,4
22,13
11,1
53,61
45,38
34,1
63,68
7,31
15,9
41,55
1,40
13,15
43,50
5,27
5,48
11,22
37,65
3,15
22,11
51,49
13,27
1,19
45,36
32,5
45,58
40,49
41,59
45,60
63,45
27,61
22,5
27,3
3,28
37,3
59,65
58,67
15,29
7,5
29,15
19,11
9,16
51,47
39,10
65,53
15,16
26,7
27,65
52,67
6,5
33,36
33,5
3,46
10,23
5,37
48,41
38,51
35,39
50,39
9,29
32,23
43,61
59,70
15,1
49,68
47,55
33,21
63,60
49,61
37,35
3,41
3,10
49,53
7,27
27,67
5,49
27,5
5,15
13,19
29,7
19,3
13,32
25,59
19,12
1,32
9,0
33,39
15,3
38,55
37,25
56,59
59,57
33,63
1,7
39,68
11,25
30,19
58,53
31,7
51,57
9,27
35,38
36,59
50,65
41,57
23,67
45,57
5,31
64,61
26,53
65,69
37,36
47,59
13,7
29,14
59,67
11,26
7,35
9,10
52,63
49,59
13,23
31,11
33,14
65,64
50,67
27,11
29,6
5,28
70,67
29,12
45,41
4,15
8,1
32,9
17,2
5,9
5,42
